feature,importance
PctExtHyperlinks,0.19204048546450192
PctExtNullSelfRedirectHyperlinksRT,0.15667658322097525
FrequentDomainNameMismatch,0.08338225738839142
PctExtResourceUrls,0.07959541929435346
PctNullSelfRedirectHyperlinks,0.06259117600151458
NumDash,0.048651100397851005
NumNumericChars,0.03947807394153838
ExtMetaScriptLinkRT,0.03400822989542196
InsecureForms,0.02964110144806482
SubmitInfoToEmail,0.02766728636930269
PathLevel,0.026552008047508714
NumDots,0.023429415008776357
PathLength,0.020123303321741462
UrlLength,0.01722812837354296
QueryLength,0.016548062815744627
NumSensitiveWords,0.015478510576008834
IframeOrFrame,0.015187931680917921
NumQueryComponents,0.014347743430631273
HostnameLength,0.013063882191937022
ExtFavicon,0.01089093005515526
PctExtResourceUrlsRT,0.007749442320874527
NumUnderscore,0.006817192136432712
NumDashInHostname,0.006041904218308164
NumAmpersand,0.0059286672374903385
SubdomainLevel,0.005719624877574537
UrlLengthRT,0.004329810905002853
RelativeFormAction,0.004319372408420145
AbnormalExtFormActionR,0.0038652076742478484
IpAddress,0.0030917154543605267
RandomString,0.003090058877674825
DomainInPaths,0.0028321078155827168
NumPercent,0.00254903708236226
MissingTitle,0.0022889349877578255
ExtFormAction,0.002260223688179137
EmbeddedBrandName,0.002041530307037313
NoHttps,0.0018537849858259482
AbnormalFormAction,0.0017426606260083353
SubdomainLevelRT,0.0016761232827754474
DomainInSubdomains,0.0016091139995310809
RightClickDisabled,0.001020789420892726
ImagesOnlyInForm,0.0008034023265810625
TildeSymbol,0.0006684684641723175
PopUpWindow,0.00032599563132058905
NumHash,0.0002690820999680681
DoubleSlashInPath,0.00021416976058853248
FakeLinkInStatusBar,0.0001706277387317658
AtSymbol,0.00013932274841859995
HttpsInHostname,0.0
