epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.3491411521158048,0.8750714285714286,0.0475186900695165,0.988
2,0.04582250909720148,0.9871428571428571,0.02567241104692221,0.995
3,0.03002499775375639,0.9927857142857143,0.018580010641366242,0.997
4,0.024462009592780044,0.9955,0.017770864218473435,0.9966666666666667
5,0.021965136777077402,0.9959285714285714,0.015839488495141267,0.9973333333333333
6,0.02060089380613395,0.9962857142857143,0.014942992048958938,0.9976666666666667
7,0.01906130258313247,0.9965714285714286,0.01465557302472492,0.9976666666666667
8,0.017862378033144135,0.9972142857142857,0.015255920654162765,0.9973333333333333
9,0.017360660608325685,0.9966428571428572,0.014430366383244594,0.9976666666666667
10,0.01704090516907828,0.9968571428571429,0.01369661450944841,0.9976666666666667
11,0.016156832906816687,0.9971428571428571,0.014565347492694855,0.9973333333333333
12,0.014359750176114695,0.9975,0.014303394014636676,0.9976666666666667
